primary_city,county,zip_code,FM_Closest_raw,FM_Closest_AR,FM_Closest_SP,FM_Attends_raw,FM_Attends_AR,FM_Attends_SP,Final_FM_Attend,transaction_id,agree_with_Attends,Final_FM_Closest,agree_with_Closest
,,38614,Unsure ,Unsure,,,,, ,0gHuV5bT40Fngiy9v3PQcr,,,
Nashville,Davidson County,37211,Unsure,Unsure,Unsure,Nashville farmer's market.,Nashville Farmers Market,Nashville Farmers Market,Nashville Farmers Market,0gLT0vurMJnVNmK2jexJ4C,,Unsure,
Adams,Montgomery County,37010,franks farmers market,Not a farmers market,Unsure,Franks farmers market ,Not Farmers Market,Franklin Farmers Market,,0hJDs3tt0AYyvPlewuKiBq,,,
Lebanon,Wilson County,37087,unsure,Unsure,Unsure,,,NA, ,0hReVKEz656kPEIOb6dvdA,,Unsure,
Murfreesboro,Rutherford County,37128,Town Square,Main Street Murfreesboro Farmers Market,Main Street Murfreesboro Farmers Market,Town Square,Main Street Murfreesboro Farmers Market,Main Street Murfreesboro Farmers Market,Main Street Murfreesboro Farmers Market,0heJgiNeMi6DYuMmh9nxgR,,Main Street Murfreesboro Farmers Market,
Collierville,Shelby County,38017,winchester,Winchester Farmers Market,Winchester Farmers Market,Winchester,Winchester Farmers Market,Winchester Farmers Market,Winchester Farmers Market,0iT6yAPgt296TSVsxBvaY5,,Winchester Farmers Market,
,,38834,Unsure,Unsure,,,,, ,0imbxNA7xgwC7IQj5Dt5b6,,Unsure,
,,38635,Unsure,Unsure,,Carpenter farms,Not Farmers Market,,,0j335fpYrpqLNqepIWSzBB,,Unsure,
Seymour,Sevier County,37865,Unsure ,Unsure,Unsure,Don't remember.,,Unsure,,0jN8UWubW1oAjn1RVirTNC,,Unsure,
Knoxville,Knox County,37917,Market Square farmers market,Market Square Farmers Market,Market Square Farmers Market,Market Square farmers market,Market Square Farmers Market,Market Square Farmers Market,Market Square Farmers Market,0jnpnlSv5AwDIAyKdXRELj,,Market Square Farmers Market,
La Vergne,Rutherford County,37086,Unsure,Unsure,Unsure,I donÃ¢ÂÂt know,Unsure,Unsure,Unsure,0jp45SUpceU4zDgPRcbiEd,,Unsure,
Clarksville,Montgomery County,37042,unsure,Unsure,Unsure,,,NA, ,0jsspoxwmQMWx67PYvIUVF,,Unsure,
,,72472,Unsure,Unsure,,,,, ,0k75X7e662Zs8Fvf5RALxB,,Unsure,
,,38834,Unsure ,Unsure,,,,, ,0k8mpGGKLfOJbuy5jDF4V3,,,
,,38637,Main st,Unsure,,Main street ,Unsure,,,0lqqoTiFypFVzvS3Jfqxzl,,,
